Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2b,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,290,Prolific,195,95,33.14,11.35,"American
British",China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,Low,,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2b,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,290,Prolific,195,95,33.14,11.35,"American
British",China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,Low,,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,61,University Students,39,22,19.75,1.55,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,Yes,Within,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,,,,,,Ingroup ,Ingroup ,61,4,244,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,61,University Students,39,22,19.75,1.55,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,Yes,Within,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,,,,,,Ingroup ,Outgroup,61,4,244,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,61,University Students,39,22,19.75,1.55,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,Yes,Within,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,,,,,,Outgroup ,Ingroup ,61,4,244,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,61,University Students,39,22,19.75,1.55,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,Yes,Within,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,,,,,,Outgroup ,Outgroup,61,4,244,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3b,Online,Natural,Pet Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,134,Credamo,81,53,27.3,6.71,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,,,,No,NA,,,,,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3b,Online,Natural,Pet Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,134,Credamo,81,53,27.3,6.71,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,,,,No,NA,,,,,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3b,Online,Natural,Pet Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,134,Credamo,81,53,27.3,6.71,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,,,,No,NA,,,,,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,3b,Online,Natural,Pet Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,134,Credamo,81,53,27.3,6.71,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,,,,No,NA,,,,,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0,,Ingroup,Ingroup,75,1,75,,24,0.09,0.16,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0,,Ingroup,Outgroup,72,1,72,,19,0.07,0.14,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0,,Outgroup,Ingroup,53,1,53,,29,0.19,0.21,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0,,Outgroup,Outgroup,75,1,75,,27,0.12,0.19,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.25,,Ingroup,Ingroup,75,1,75,,25,0.07,0.13,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.25,,Ingroup,Outgroup,72,1,72,,15,0.04,0.09,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.25,,Outgroup,Ingroup,53,1,53,,20,0.12,0.17,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.25,,Outgroup,Outgroup,75,1,75,,22,0.07,0.15,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.5,,Ingroup,Ingroup,75,1,75,,9,0.03,0.1,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.5,,Ingroup,Outgroup,72,1,72,,14,0.05,0.13,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.5,,Outgroup,Ingroup,53,1,53,,15,0.08,0.15,,,,,,,,
41,The psychology of deterrence explains why group membership matters for third-party punishment,1,Online,Natural,Political Orientation,We used players' identification as liberals or conservatives to manipulate the ingroup/outgroup composition of the triads,275,MTurk,107,168,Not reported,Not reported,,USA,Dictator Game,"Three players: Dictator (Person A), Recipient (Person B), Punisher (Person C). Dictator divides a fixed stake ($1) between self and recipient (0%, 25%, or 50% to recipient). Punisher, with own stake ($0.50), can spend money to reduce dictator’s earnings (each $0.10 spent reduces dictator’s earnings by 20%). All interactions are one-shot and anonymous; no deception used. Punisher decisions are made using the “strategy method” (respond to all possible dictator allocations before knowing the actual one).",Real,Yes,No,No,1,1,0,Punish Only,0.5,0,0.5,Each $0.10 reduces dictator’s stake by 20%,NA,NA,NA,Currency,NA,USD,Yes,Between,Yes,Between,Yes,Within,,No,NA,,,,0.5,,Outgroup,Outgroup,75,1,75,,15,0.06,0.15,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Cooperate,Ingroup,Ingroup,56,2,112,,NA,0.05,0.26,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Cooperate,Ingroup,Outgroup,56,2,112,,NA,0.12,0.54,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Cooperate,Outgroup,Ingroup,56,2,112,,NA,0.59,2.01,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Defect,Ingroup,Ingroup,56,2,112,,NA,0.2,0.88,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Defect,Ingroup,Outgroup,56,2,112,,NA,0.2,0.67,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Cooperate,Defect,Outgroup,Ingroup,56,2,112,,NA,0.46,1.64,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Cooperate,Ingroup,Ingroup,56,2,112,,NA,2.28,3.09,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Cooperate,Ingroup,Outgroup,56,4,224,,NA,1.35,2.44,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Cooperate,Outgroup,Ingroup,56,4,224,,NA,3.63,3.22,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Defect,Ingroup,Ingroup,56,2,112,,NA,1,2.1,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Defect,Ingroup,Outgroup,56,2,112,,NA,0.53,1.29,,,,,,,,
44,Neuroanatomy of intergroup bias: A white matter microstructure study of individual differences,1,Lab,Natural,Soccer / Politics,"From this sample, strong supporters of soccer clubs (N = 16) and political parties (N = 40) were recruited—two groups with a proven proclivity for intergroup bias",56,Not Specified,26,30,22.3,3.47,,Switzerland,Prisoners' Dilemma,"Two players (A and B) each received 20 points and could either cooperate (transfer points to the other player, doubled in value) or defect (keep their own points). The third-party observer (player C — the participant) saw real prior PDG interactions and could punish one of the players by spending their own points, which reduced the punished player’s earnings by a fixed ratio. No repeated interactions; all anonymous",Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,,,,,Yes,Within,,Yes,Within,,,,Defect,Defect,Outgroup,Ingroup,56,2,112,,NA,1.52,2.25,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Ingroup,Ingroup,38,4,152,,151,8.88,3.28,,,,,,,,
